ID_1,Name,W1_mean,W1_sig,W2_mean,W2_sig,W4,W4_sig,Rad,Tdust,logLbol,LogMclump,logNH2,Dis,Fmax,Fmin,Var,Count,ref
321,32.992+0.034,12.224 ,0.089 ,8.095 ,0.014 ,-0.056 ,0.012 ,1.48 ,26.2 ,4.85 ,3.52 ,22.68 ,5.17 ,27.0 ,7.6 ,3.6 ,6,"B15,F10,S99,S00,S12,Y19"
325,33.317-0.360,11.560 ,0.052 ,10.005 ,0.022 ,2.295 ,0.028 ,0.10 ,20.5 ,2.09 ,1.38 ,22.09 ,2.13 ,1.6 ,1.2 ,1.4 ,2,"B15,Y19"
336,34.257+0.153,8.162 ,0.014 ,2.165 ,0.010 ,--,--,0.44 ,29.2 ,4.79 ,3.23 ,23.92 ,9.78 ,32.0 ,16.8 ,1.9 ,5,"B15,C95B,C00,M91,S00"
340,34.757+0.025,9.782 ,0.021 ,5.767 ,0.019 ,-0.515 ,0.012 ,0.47 ,27.0 ,3.83 ,2.53 ,22.32 ,5.06 ,1.9 ,1.3 ,1.4 ,2,"B15,Y19"
362,36.918+0.483,10.246 ,0.022 ,8.107 ,0.013 ,0.160 ,0.013 ,0.70 ,22.5 ,4.20 ,3.18 ,22.19 ,14.10 ,1.5 ,1.2 ,1.3 ,4,"B15,P07,S12,Y19"
387,38.916-0.353,11.835 ,0.033 ,10.268 ,0.021 ,3.078 ,0.029 ,0.40 ,19.0 ,3.27 ,2.64 ,22.91 ,1.91 ,2.8 ,1.3 ,2.2 ,3,"B15,P07,S12"
399,41.121-0.107,8.236 ,0.022 ,5.245 ,0.024 ,0.675 ,0.019 ,--,22.1 ,--,--,22.11 ,2.44 ,1.1 ,0.7 ,1.6 ,4,"B15,P07,S12,Y19"
402,41.226-0.197,10.881 ,0.031 ,9.484 ,0.018 ,2.286 ,0.022 ,0.74 ,21.4 ,3.91 ,3.16 ,22.28 ,8.35 ,5.7 ,3.2 ,1.8 ,4,"B15,P07,S00,S12"
417,43.167-0.004,10.048 ,0.045 ,8.564 ,0.024 ,--,--,--,--,--,--,--,11.93 ,9.3 ,2.6 ,3.6 ,4,"B15,C95B,P07,P07"
424,44.310+0.041,10.229 ,0.021 ,8.814 ,0.014 ,-0.901 ,0.006 ,1.49 ,23.5 ,4.52 ,3.55 ,22.70 ,7.74 ,0.9 ,0.6 ,1.5 ,3,"B15,P07,S12"
430,45.473+0.134,9.157 ,0.021 ,7.236 ,0.013 ,--,--,1.67 ,33.2 ,5.46 ,3.59 ,22.64 ,6.83 ,15.0 ,5.5 ,2.7 ,5,"B15,C95B,M91,P07,S00"
437,47.04+0.25,12.774 ,0.101 ,12.032 ,0.057 ,--,--,--,--,--,--,--,5.56 ,0.0 ,0.0 ,1.0 ,1,O14
445,49.417+0.324,11.384 ,0.029 ,9.969 ,0.019 ,--,--,0.65 ,22.9 ,4.23 ,3.38 ,22.38 ,12.69 ,9.5 ,8.0 ,1.2 ,3,"B15,P07,S12"
454,50.035+0.582,10.902 ,0.027 ,8.934 ,0.015 ,1.677 ,0.020 ,0.37 ,21.7 ,3.91 ,3.20 ,22.36 ,10.27 ,5.8 ,4.9 ,1.2 ,2,"B15,Y19"
474,71.52-0.38,6.548 ,0.023 ,4.437 ,0.014 ,-2.078 ,0.001 ,--,--,--,--,--,3.68 ,10.1 ,4.7 ,2.1 ,3,"S00,S12,Y19"
480,79.736+0.991,10.584 ,0.018 ,7.875 ,0.013 ,0.840 ,0.015 ,--,--,--,--,--,2.67 ,26.7 ,19.4 ,1.4 ,3,"S12,V96,Y19"
481,80.861+0.383,8.852 ,0.017 ,6.051 ,0.014 ,-1.465 ,0.021 ,--,--,--,--,--,2.05 ,9.7 ,5.0 ,1.9 ,2,"S12,Y19"
482,81.722+0.571,10.781 ,0.029 ,8.947 ,0.015 ,-0.186 ,0.027 ,--,--,--,--,--,2.28 ,13.0 ,5.4 ,2.4 ,2,"M91,S12"
489,98.04+1.45,5.705 ,0.027 ,2.634 ,0.010 ,-3.769 ,0.002 ,--,--,--,--,--,6.47 ,3.3 ,2.1 ,1.6 ,3,"S00,S12,Y19"
493,108.76-0.99,5.939 ,0.025 ,2.182 ,0.009 ,-1.728 ,0.020 ,--,--,--,--,--,2.81 ,7.3 ,3.4 ,2.1 ,2,"S12,Y19"
503,173.482+2.446,9.164 ,0.016 ,6.373 ,0.012 ,-1.816 ,0.002 ,--,--,--,--,--,1.69 ,208.0 ,38.1 ,5.5 ,4,"M91,S12,V08,Y17"
507,183.35-0.58,9.608 ,0.016 ,7.105 ,0.012 ,-0.646 ,0.017 ,--,--,--,--,--,1.59 ,19.0 ,6.8 ,2.8 ,5,"F10,S99,S00,S12,Y19"
512,189.778+0.345,10.206 ,0.019 ,8.218 ,0.014 ,-0.054 ,0.025 ,--,--,--,--,--,2.10 ,18.0 ,7.7 ,2.3 ,3,"MMB,C95B,M91"
524,259.939-0.041,7.674 ,0.015 ,5.233 ,0.015 ,-1.402 ,0.007 ,--,--,--,--,--,2.65 ,3.8 ,2.2 ,1.8 ,2,"MMB,W97"
537,287.371+0.644,5.387 ,0.036 ,3.408 ,0.011 ,-2.530 ,0.002 ,--,--,--,--,--,4.33 ,115.7 ,63.8 ,1.8 ,5,"MMB,C95B,G04,V95,W97"
549,293.827-0.746,10.068 ,0.019 ,8.429 ,0.016 ,--,--,--,--,--,--,--,9.88 ,3.8 ,2.9 ,1.3 ,2,"MMB,W97"
556,297.406-0.622,9.994 ,0.018 ,7.564 ,0.013 ,-0.238 ,0.017 ,--,--,--,--,--,9.59 ,1.7 ,1.7 ,1.0 ,1,MMB
559,298.262+0.739,8.448 ,0.015 ,6.209 ,0.013 ,-1.707 ,0.002 ,--,--,--,--,--,2.07 ,15.0 ,12.6 ,1.2 ,3,"MMB,W97,G04"
561,298.723-0.086,10.751 ,0.020 ,9.060 ,0.015 ,2.001 ,0.019 ,--,--,--,--,--,9.73 ,1.8 ,1.8 ,1.0 ,1,MMB
567,302.032-0.061,8.345 ,0.015 ,6.131 ,0.013 ,-3.541 ,0.003 ,0.52 ,33.8 ,4.42 ,2.54 ,22.55 ,3.00 ,9.0 ,8.3 ,1.1 ,2,"MMB,W97"
585,305.615-0.344,11.156 ,0.032 ,9.389 ,0.017 ,1.724 ,0.028 ,0.18 ,24.3 ,3.18 ,1.99 ,22.23 ,7.05 ,2.8 ,2.8 ,1.0 ,1,MMB
605,310.144+0.760,9.457 ,0.019 ,6.382 ,0.013 ,-1.498 ,0.004 ,0.84 ,31.8 ,4.85 ,3.08 ,22.85 ,4.12 ,93.9 ,93.9 ,1.0 ,1,MMB
606,310.180-0.122,10.644 ,0.024 ,8.840 ,0.015 ,0.832 ,0.031 ,1.21 ,23.9 ,4.60 ,3.47 ,22.34 ,11.00 ,1.2 ,1.1 ,1.1 ,2,"MMB,W97"
608,311.551-0.055,10.305 ,0.019 ,9.527 ,0.017 ,3.811 ,0.042 ,--,--,--,--,--,4.43 ,1.1 ,1.1 ,1.0 ,1,MMB
