ID,Name,MJD,W1mag,W1mag err,W1flux,W1flux err,W2,W2 sig,W2flux,W2flux err
29,2.143+0.009,57636.7 ,10.738 ,0.100 ,15.659 ,1.570 ,8.119 ,0.016 ,97.131 ,1.595 
29,2.143+0.009,57829.8 ,10.834 ,0.109 ,14.337 ,1.568 ,8.206 ,0.019 ,89.651 ,1.673 
29,2.143+0.009,57999.7 ,10.648 ,0.091 ,17.015 ,1.543 ,8.156 ,0.019 ,93.884 ,1.760 
29,2.143+0.009,58196.4 ,10.871 ,0.105 ,13.859 ,1.453 ,8.120 ,0.016 ,97.041 ,1.593 
29,2.143+0.009,58360.2 ,10.685 ,0.090 ,16.438 ,1.473 ,8.182 ,0.019 ,91.683 ,1.742 
29,2.143+0.009,58560.6 ,10.859 ,0.101 ,14.011 ,1.411 ,8.160 ,0.017 ,93.538 ,1.612 
29,2.143+0.009,58724.4 ,10.721 ,0.091 ,15.910 ,1.441 ,8.167 ,0.018 ,92.976 ,1.665 
29,2.143+0.009,58927.3 ,10.801 ,0.107 ,14.770 ,1.579 ,8.130 ,0.017 ,96.137 ,1.650 
29,2.143+0.009,59090.6 ,10.697 ,0.094 ,16.255 ,1.533 ,8.130 ,0.018 ,96.149 ,1.753 
29,2.143+0.009,59291.9 ,10.888 ,0.114 ,13.633 ,1.560 ,8.109 ,0.019 ,98.014 ,1.813 
29,2.143+0.009,59455.6 ,10.676 ,0.080 ,16.586 ,1.321 ,8.078 ,0.016 ,100.919 ,1.661 
32,2.591-0.029,56736.7 ,8.415 ,0.019 ,133.043 ,2.517 ,8.010 ,0.016 ,107.413 ,1.745 
32,2.591-0.029,56918.6 ,8.424 ,0.020 ,131.957 ,2.687 ,8.040 ,0.017 ,104.435 ,1.766 
32,2.591-0.029,57101.1 ,8.544 ,0.020 ,118.110 ,2.351 ,8.152 ,0.016 ,94.199 ,1.490 
32,2.591-0.029,57278.3 ,8.464 ,0.021 ,127.221 ,2.640 ,8.080 ,0.018 ,100.714 ,1.796 
32,2.591-0.029,57465.3 ,8.474 ,0.020 ,126.049 ,2.532 ,8.107 ,0.017 ,98.177 ,1.696 
32,2.591-0.029,57636.9 ,8.513 ,0.020 ,121.534 ,2.477 ,8.158 ,0.018 ,93.738 ,1.709 
32,2.591-0.029,57830.0 ,8.459 ,0.020 ,127.728 ,2.520 ,8.125 ,0.018 ,96.579 ,1.756 
32,2.591-0.029,57999.9 ,8.548 ,0.021 ,117.720 ,2.454 ,8.179 ,0.017 ,91.955 ,1.549 
32,2.591-0.029,58196.6 ,8.434 ,0.019 ,130.785 ,2.420 ,8.089 ,0.016 ,99.860 ,1.608 
32,2.591-0.029,58360.5 ,8.416 ,0.021 ,132.890 ,2.735 ,8.056 ,0.016 ,102.965 ,1.673 
32,2.591-0.029,58560.9 ,8.442 ,0.020 ,129.775 ,2.531 ,8.107 ,0.016 ,98.195 ,1.563 
32,2.591-0.029,58724.6 ,8.414 ,0.020 ,133.143 ,2.610 ,8.100 ,0.018 ,98.899 ,1.770 
32,2.591-0.029,58927.8 ,8.611 ,0.021 ,111.111 ,2.296 ,8.230 ,0.018 ,87.739 ,1.616 
32,2.591-0.029,59091.3 ,8.446 ,0.021 ,129.348 ,2.670 ,8.122 ,0.018 ,96.902 ,1.730 
32,2.591-0.029,59292.1 ,8.441 ,0.021 ,129.839 ,2.757 ,8.093 ,0.018 ,99.450 ,1.775 
32,2.591-0.029,59455.9 ,8.583 ,0.020 ,113.990 ,2.301 ,8.208 ,0.017 ,89.516 ,1.546 
33,2.615+0.134,56736.6 ,8.753 ,0.021 ,97.467 ,2.022 ,7.100 ,0.014 ,248.308 ,3.559 
33,2.615+0.134,56918.4 ,8.666 ,0.021 ,105.562 ,2.230 ,7.149 ,0.015 ,237.419 ,3.502 
33,2.615+0.134,57101.0 ,8.744 ,0.020 ,98.231 ,1.982 ,7.130 ,0.015 ,241.561 ,3.536 
33,2.615+0.134,57278.1 ,8.726 ,0.021 ,99.870 ,2.074 ,7.144 ,0.015 ,238.345 ,3.502 
33,2.615+0.134,57465.1 ,8.705 ,0.021 ,101.815 ,2.129 ,7.151 ,0.015 ,236.993 ,3.555 
33,2.615+0.134,57636.4 ,8.739 ,0.021 ,98.732 ,2.098 ,7.160 ,0.015 ,234.922 ,3.406 
33,2.615+0.134,57829.8 ,8.774 ,0.022 ,95.605 ,2.118 ,7.165 ,0.015 ,233.945 ,3.563 
33,2.615+0.134,57999.9 ,8.755 ,0.022 ,97.252 ,2.110 ,7.188 ,0.015 ,229.074 ,3.454 
33,2.615+0.134,58196.5 ,8.760 ,0.021 ,96.783 ,2.023 ,7.179 ,0.015 ,230.797 ,3.531 
33,2.615+0.134,58360.4 ,8.737 ,0.020 ,98.867 ,2.004 ,7.155 ,0.015 ,236.102 ,3.434 
33,2.615+0.134,58560.7 ,8.756 ,0.021 ,97.176 ,2.081 ,7.183 ,0.015 ,230.015 ,3.546 
33,2.615+0.134,58724.5 ,8.755 ,0.021 ,97.243 ,2.066 ,7.209 ,0.015 ,224.573 ,3.406 
33,2.615+0.134,58927.5 ,8.773 ,0.022 ,95.659 ,2.127 ,7.152 ,0.015 ,236.595 ,3.513 
33,2.615+0.134,59091.1 ,8.732 ,0.023 ,99.325 ,2.260 ,7.203 ,0.015 ,225.822 ,3.359 
33,2.615+0.134,59292.0 ,8.780 ,0.022 ,95.022 ,2.075 ,7.163 ,0.015 ,234.382 ,3.438 
33,2.615+0.134,59455.8 ,8.764 ,0.022 ,96.455 ,2.114 ,7.155 ,0.014 ,236.024 ,3.285 
37,3.442-0.348,56737.7 ,13.065 ,0.267 ,1.836 ,0.490 ,9.230 ,0.030 ,34.907 ,1.054 
37,3.442-0.348,56919.1 ,13.369 ,0.347 ,1.388 ,0.481 ,9.193 ,0.033 ,36.132 ,1.183 
37,3.442-0.348,57278.3 ,12.945 ,0.237 ,2.051 ,0.486 ,8.990 ,0.026 ,43.550 ,1.132 
37,3.442-0.348,57465.9 ,13.013 ,0.289 ,1.926 ,0.556 ,9.025 ,0.026 ,42.178 ,1.107 
37,3.442-0.348,57637.2 ,13.203 ,0.239 ,1.617 ,0.386 ,8.985 ,0.027 ,43.751 ,1.159 
37,3.442-0.348,57832.4 ,13.368 ,0.320 ,1.389 ,0.445 ,9.103 ,0.031 ,39.255 ,1.227 
37,3.442-0.348,58000.3 ,12.728 ,0.162 ,2.505 ,0.405 ,9.086 ,0.027 ,39.883 ,1.057 
37,3.442-0.348,58197.4 ,12.965 ,0.254 ,2.014 ,0.512 ,8.936 ,0.026 ,45.771 ,1.201 
37,3.442-0.348,58360.8 ,12.809 ,0.188 ,2.325 ,0.437 ,8.971 ,0.033 ,44.319 ,1.463 
37,3.442-0.348,58561.5 ,12.800 ,0.197 ,2.344 ,0.462 ,9.020 ,0.027 ,42.383 ,1.134 
37,3.442-0.348,58725.5 ,13.028 ,0.326 ,1.901 ,0.619 ,9.007 ,0.028 ,42.874 ,1.215 
37,3.442-0.348,58928.5 ,13.435 ,0.366 ,1.306 ,0.477 ,9.037 ,0.032 ,41.724 ,1.314 
37,3.442-0.348,59293.0 ,13.557 ,0.372 ,1.167 ,0.435 ,8.997 ,0.031 ,43.284 ,1.356 
37,3.442-0.348,59456.4 ,13.099 ,0.258 ,1.780 ,0.459 ,8.908 ,0.028 ,46.988 ,1.292 
42,4.569-0.079,56738.2 ,12.369 ,0.228 ,3.485 ,0.793 ,10.468 ,0.054 ,11.161 ,0.604 
42,4.569-0.079,56919.5 ,12.215 ,0.168 ,4.018 ,0.675 ,10.244 ,0.048 ,13.721 ,0.652 
