ID,Name,MJD,W1mag,W1mag err,W1flux,W1flux err,W2,W2 sig,W2flux,W2flux err
137,16.831+0.079,58367.0 ,10.427 ,0.030 ,20.861 ,0.633 ,8.944 ,0.017 ,45.427 ,0.776 
137,16.831+0.079,58567.4 ,10.520 ,0.034 ,19.138 ,0.656 ,8.969 ,0.019 ,44.382 ,0.851 
137,16.831+0.079,58731.8 ,10.449 ,0.030 ,20.441 ,0.612 ,8.987 ,0.020 ,43.668 ,0.870 
137,16.831+0.079,58934.3 ,10.462 ,0.031 ,20.183 ,0.627 ,8.972 ,0.018 ,44.278 ,0.816 
137,16.831+0.079,59098.2 ,10.371 ,0.030 ,21.948 ,0.651 ,8.974 ,0.018 ,44.210 ,0.777 
137,16.831+0.079,59298.6 ,10.505 ,0.032 ,19.404 ,0.626 ,8.976 ,0.016 ,44.136 ,0.702 
137,16.831+0.079,59462.4 ,10.506 ,0.034 ,19.385 ,0.662 ,8.991 ,0.017 ,43.497 ,0.758 
139,16.864-2.159,56747.4 ,11.751 ,0.042 ,6.161 ,0.259 ,7.923 ,0.012 ,116.410 ,1.397 
139,16.864-2.159,56926.9 ,11.993 ,0.053 ,4.931 ,0.263 ,8.143 ,0.017 ,95.015 ,1.577 
139,16.864-2.159,57109.2 ,12.014 ,0.045 ,4.837 ,0.218 ,8.185 ,0.015 ,91.423 ,1.402 
139,16.864-2.159,57287.4 ,12.211 ,0.054 ,4.034 ,0.219 ,8.372 ,0.019 ,76.923 ,1.449 
139,16.864-2.159,57473.4 ,11.837 ,0.044 ,5.692 ,0.252 ,7.966 ,0.014 ,111.838 ,1.543 
139,16.864-2.159,57647.8 ,11.355 ,0.033 ,8.871 ,0.288 ,7.799 ,0.013 ,130.464 ,1.663 
139,16.864-2.159,57840.5 ,11.688 ,0.033 ,6.531 ,0.212 ,8.046 ,0.018 ,103.942 ,1.819 
139,16.864-2.159,58008.4 ,11.553 ,0.038 ,7.392 ,0.278 ,7.841 ,0.012 ,125.523 ,1.548 
139,16.864-2.159,58204.8 ,11.649 ,0.044 ,6.767 ,0.295 ,8.024 ,0.014 ,105.979 ,1.484 
139,16.864-2.159,58369.0 ,12.020 ,0.047 ,4.806 ,0.226 ,8.168 ,0.016 ,92.852 ,1.486 
139,16.864-2.159,58570.2 ,11.327 ,0.033 ,9.102 ,0.301 ,7.857 ,0.013 ,123.674 ,1.663 
139,16.864-2.159,58734.6 ,11.714 ,0.042 ,6.375 ,0.267 ,8.014 ,0.014 ,107.032 ,1.482 
139,16.864-2.159,58935.9 ,11.516 ,0.029 ,7.650 ,0.220 ,7.861 ,0.013 ,123.149 ,1.626 
139,16.864-2.159,59100.2 ,11.560 ,0.032 ,7.342 ,0.237 ,7.885 ,0.013 ,120.464 ,1.506 
139,16.864-2.159,59301.2 ,11.462 ,0.034 ,8.039 ,0.273 ,7.825 ,0.013 ,127.391 ,1.608 
144,17.862+0.074,56746.1 ,10.366 ,0.037 ,22.062 ,0.821 ,9.007 ,0.018 ,42.874 ,0.789 
144,17.862+0.074,56925.4 ,10.268 ,0.030 ,24.137 ,0.714 ,8.945 ,0.017 ,45.410 ,0.790 
144,17.862+0.074,57108.0 ,10.360 ,0.038 ,22.186 ,0.853 ,8.992 ,0.019 ,43.453 ,0.832 
144,17.862+0.074,57285.7 ,10.258 ,0.028 ,24.365 ,0.674 ,9.016 ,0.019 ,42.533 ,0.808 
144,17.862+0.074,57472.3 ,10.409 ,0.039 ,21.199 ,0.816 ,8.974 ,0.018 ,44.197 ,0.796 
144,17.862+0.074,57646.4 ,10.365 ,0.037 ,22.070 ,0.825 ,8.972 ,0.017 ,44.270 ,0.744 
144,17.862+0.074,57839.5 ,10.381 ,0.039 ,21.760 ,0.849 ,8.932 ,0.018 ,45.945 ,0.827 
144,17.862+0.074,58006.8 ,10.299 ,0.033 ,23.472 ,0.782 ,8.981 ,0.018 ,43.933 ,0.805 
144,17.862+0.074,58203.4 ,10.371 ,0.034 ,21.948 ,0.755 ,8.938 ,0.017 ,45.678 ,0.758 
144,17.862+0.074,58367.4 ,10.303 ,0.035 ,23.372 ,0.810 ,8.961 ,0.019 ,44.729 ,0.827 
144,17.862+0.074,58568.5 ,10.416 ,0.037 ,21.067 ,0.774 ,8.955 ,0.019 ,44.988 ,0.859 
144,17.862+0.074,58732.9 ,10.309 ,0.034 ,23.256 ,0.781 ,8.944 ,0.017 ,45.447 ,0.760 
144,17.862+0.074,58934.7 ,10.360 ,0.037 ,22.175 ,0.809 ,8.952 ,0.019 ,45.112 ,0.846 
144,17.862+0.074,59098.7 ,10.493 ,0.044 ,19.626 ,0.867 ,8.983 ,0.016 ,43.848 ,0.719 
144,17.862+0.074,59298.8 ,10.440 ,0.038 ,20.604 ,0.778 ,9.005 ,0.018 ,42.972 ,0.784 
145,18.073+0.077,56746.2 ,10.002 ,0.032 ,30.833 ,0.989 ,6.036 ,0.016 ,661.647 ,10.526 
145,18.073+0.077,56925.7 ,9.981 ,0.033 ,31.442 ,1.049 ,5.938 ,0.017 ,723.878 ,12.261 
145,18.073+0.077,57108.1 ,10.000 ,0.034 ,30.900 ,1.037 ,6.006 ,0.021 ,680.127 ,14.468 
145,18.073+0.077,57286.0 ,9.947 ,0.033 ,32.450 ,1.057 ,5.950 ,0.018 ,716.190 ,12.550 
145,18.073+0.077,57472.9 ,9.957 ,0.034 ,32.151 ,1.080 ,5.922 ,0.018 ,734.949 ,13.474 
145,18.073+0.077,57646.5 ,9.984 ,0.032 ,31.348 ,1.009 ,5.965 ,0.017 ,706.065 ,11.811 
145,18.073+0.077,57839.4 ,9.937 ,0.031 ,32.743 ,1.030 ,6.065 ,0.018 ,644.155 ,11.770 
145,18.073+0.077,58007.1 ,9.957 ,0.032 ,32.153 ,1.024 ,6.104 ,0.015 ,621.475 ,9.581 
145,18.073+0.077,58203.5 ,9.970 ,0.028 ,31.758 ,0.881 ,6.049 ,0.018 ,653.517 ,11.981 
145,18.073+0.077,58367.6 ,10.019 ,0.031 ,30.373 ,0.954 ,6.106 ,0.016 ,620.379 ,9.978 
145,18.073+0.077,58568.7 ,9.996 ,0.032 ,31.025 ,0.994 ,5.952 ,0.020 ,714.612 ,14.185 
145,18.073+0.077,58732.9 ,10.010 ,0.032 ,30.618 ,0.983 ,6.009 ,0.017 ,678.157 ,11.495 
145,18.073+0.077,58934.9 ,9.904 ,0.026 ,33.745 ,0.890 ,5.997 ,0.018 ,686.076 ,12.038 
145,18.073+0.077,59098.8 ,10.054 ,0.034 ,29.414 ,0.993 ,6.070 ,0.016 ,641.491 ,10.478 
145,18.073+0.077,59299.1 ,9.962 ,0.034 ,32.001 ,1.091 ,5.928 ,0.019 ,731.031 ,13.823 
145,18.073+0.077,59463.7 ,9.948 ,0.030 ,32.414 ,0.961 ,6.042 ,0.017 ,657.903 ,10.855 
147,18.262-0.244,56746.5 ,10.221 ,0.048 ,25.207 ,1.215 ,7.578 ,0.020 ,159.932 ,3.155 
147,18.262-0.244,56926.0 ,10.207 ,0.046 ,25.541 ,1.180 ,7.550 ,0.019 ,164.075 ,3.183 
147,18.262-0.244,57108.4 ,10.267 ,0.047 ,24.161 ,1.140 ,7.619 ,0.022 ,154.018 ,3.332 
147,18.262-0.244,57286.6 ,10.297 ,0.049 ,23.509 ,1.163 ,7.617 ,0.020 ,154.305 ,3.152 
147,18.262-0.244,57473.1 ,10.262 ,0.045 ,24.279 ,1.082 ,7.547 ,0.018 ,164.572 ,3.031 
147,18.262-0.244,57646.9 ,10.302 ,0.055 ,23.401 ,1.279 ,7.621 ,0.019 ,153.735 ,2.893 
147,18.262-0.244,57839.7 ,10.265 ,0.049 ,24.208 ,1.196 ,7.552 ,0.019 ,163.800 ,3.049 
147,18.262-0.244,58007.4 ,10.257 ,0.049 ,24.394 ,1.185 ,7.577 ,0.020 ,160.063 ,3.135 
147,18.262-0.244,58203.9 ,10.257 ,0.047 ,24.398 ,1.152 ,7.523 ,0.020 ,168.264 ,3.281 
147,18.262-0.244,58367.9 ,10.210 ,0.046 ,25.468 ,1.178 ,7.500 ,0.019 ,171.830 ,3.296 
147,18.262-0.244,58569.4 ,10.313 ,0.047 ,23.169 ,1.100 ,7.549 ,0.019 ,164.228 ,3.183 
147,18.262-0.244,58733.4 ,10.446 ,0.056 ,20.487 ,1.152 ,7.721 ,0.021 ,140.166 ,2.962 
147,18.262-0.244,58935.3 ,10.303 ,0.050 ,23.384 ,1.159 ,7.635 ,0.021 ,151.748 ,3.123 
147,18.262-0.244,59099.2 ,10.399 ,0.055 ,21.399 ,1.169 ,7.641 ,0.019 ,150.866 ,2.935 
147,18.262-0.244,59299.5 ,10.489 ,0.061 ,19.699 ,1.197 ,7.733 ,0.021 ,138.569 ,2.867 
147,18.262-0.244,59464.0 ,10.470 ,0.053 ,20.043 ,1.068 ,7.780 ,0.021 ,132.745 ,2.835 
148,18.341+1.768,56924.4 ,4.265 ,0.067 ,6083.570 ,404.557 ,2.040 ,0.025 ,26253.687 ,643.215 
148,18.341+1.768,57106.9 ,5.113 ,0.054 ,2785.000 ,149.926 ,1.264 ,0.026 ,53636.072 ,1367.720 
148,18.341+1.768,57283.5 ,4.236 ,0.088 ,6243.457 ,549.424 ,1.380 ,0.037 ,48193.703 ,1799.232 
148,18.341+1.768,57472.2 ,4.336 ,0.062 ,5695.849 ,353.956 ,1.389 ,0.020 ,47783.286 ,955.666 
148,18.341+1.768,57645.3 ,4.343 ,0.058 ,5657.756 ,328.958 ,1.242 ,0.025 ,54703.973 ,1391.044 
148,18.341+1.768,57838.2 ,4.302 ,0.069 ,5878.120 ,406.766 ,1.163 ,0.024 ,58834.260 ,1400.255 
148,18.341+1.768,58006.0 ,4.074 ,0.042 ,7249.006 ,301.559 ,0.912 ,0.028 ,74163.513 ,2076.578 
148,18.341+1.768,58202.5 ,4.811 ,0.057 ,3679.243 ,209.104 ,0.946 ,0.026 ,71866.026 ,1832.584 
148,18.341+1.768,58366.3 ,3.873 ,0.070 ,8727.157 ,613.394 ,1.017 ,0.026 ,67344.880 ,1770.208 
148,18.341+1.768,58566.3 ,4.005 ,0.077 ,7726.067 ,597.998 ,0.942 ,0.084 ,72155.642 ,6075.505 
148,18.341+1.768,58730.4 ,4.094 ,0.080 ,7119.647 ,568.682 ,1.016 ,0.041 ,67373.684 ,2770.743 
148,18.341+1.768,58933.6 ,4.643 ,0.063 ,4293.541 ,268.653 ,0.782 ,0.058 ,83618.925 ,4814.061 
148,18.341+1.768,59097.6 ,4.281 ,0.064 ,5992.318 ,381.874 ,0.786 ,0.034 ,83275.561 ,2823.799 
148,18.341+1.768,59298.0 ,4.719 ,0.068 ,4003.211 ,272.218 ,1.255 ,0.034 ,54086.676 ,1825.425 
148,18.341+1.768,59461.7 ,4.479 ,0.056 ,4991.815 ,278.918 ,1.331 ,0.019 ,50441.767 ,964.699 
149,18.440+0.045,56746.3 ,9.484 ,0.022 ,49.713 ,1.094 ,8.135 ,0.015 ,95.717 ,1.436 
149,18.440+0.045,56925.9 ,9.561 ,0.022 ,46.317 ,1.002 ,8.177 ,0.014 ,92.047 ,1.314 
149,18.440+0.045,57108.3 ,9.531 ,0.021 ,47.585 ,0.992 ,8.141 ,0.014 ,95.156 ,1.354 
149,18.440+0.045,57286.3 ,9.522 ,0.021 ,48.008 ,0.989 ,8.174 ,0.015 ,92.355 ,1.429 
149,18.440+0.045,57472.5 ,9.480 ,0.020 ,49.863 ,1.006 ,8.069 ,0.014 ,101.733 ,1.406 
149,18.440+0.045,57646.8 ,9.555 ,0.023 ,46.554 ,1.059 ,8.152 ,0.014 ,94.245 ,1.351 
149,18.440+0.045,57839.6 ,9.522 ,0.019 ,47.980 ,0.928 ,8.162 ,0.014 ,93.373 ,1.292 
149,18.440+0.045,58007.2 ,9.572 ,0.021 ,45.831 ,0.940 ,8.154 ,0.014 ,94.093 ,1.302 
149,18.440+0.045,58203.7 ,9.545 ,0.024 ,46.992 ,1.124 ,8.106 ,0.014 ,98.350 ,1.407 
149,18.440+0.045,58367.7 ,9.477 ,0.021 ,50.032 ,1.043 ,8.105 ,0.014 ,98.441 ,1.363 
149,18.440+0.045,58569.3 ,9.463 ,0.020 ,50.654 ,1.002 ,8.108 ,0.014 ,98.146 ,1.359 
149,18.440+0.045,58733.3 ,9.591 ,0.023 ,45.041 ,1.032 ,8.179 ,0.015 ,91.898 ,1.333 
149,18.440+0.045,58935.0 ,9.574 ,0.021 ,45.754 ,0.965 ,8.179 ,0.014 ,91.951 ,1.249 
149,18.440+0.045,59099.0 ,9.531 ,0.019 ,47.591 ,0.922 ,8.223 ,0.013 ,88.295 ,1.156 
149,18.440+0.045,59299.3 ,9.505 ,0.019 ,48.728 ,0.948 ,8.108 ,0.013 ,98.168 ,1.312 
149,18.440+0.045,59464.0 ,9.541 ,0.020 ,47.162 ,0.955 ,8.198 ,0.014 ,90.307 ,1.249 
151,18.661+0.034,56746.5 ,12.662 ,0.305 ,2.662 ,0.812 ,8.717 ,0.020 ,55.989 ,1.132 
151,18.661+0.034,56926.1 ,12.766 ,0.296 ,2.419 ,0.716 ,8.630 ,0.018 ,60.678 ,1.065 
151,18.661+0.034,57108.3 ,12.670 ,0.228 ,2.643 ,0.602 ,9.121 ,0.029 ,38.614 ,1.135 
151,18.661+0.034,57286.7 ,12.831 ,0.256 ,2.278 ,0.583 ,8.896 ,0.021 ,47.495 ,0.994 
151,18.661+0.034,57472.7 ,13.000 ,0.236 ,1.950 ,0.460 ,8.959 ,0.021 ,44.823 ,0.928 
151,18.661+0.034,57646.9 ,12.913 ,0.216 ,2.113 ,0.457 ,8.787 ,0.017 ,52.504 ,0.886 
151,18.661+0.034,57839.7 ,12.810 ,0.248 ,2.322 ,0.575 ,8.742 ,0.017 ,54.738 ,0.937 
151,18.661+0.034,58007.4 ,12.904 ,0.264 ,2.130 ,0.563 ,8.768 ,0.018 ,53.431 ,0.953 
151,18.661+0.034,58203.8 ,12.736 ,0.135 ,2.486 ,0.336 ,8.963 ,0.029 ,44.653 ,1.314 
151,18.661+0.034,58367.8 ,12.789 ,0.190 ,2.367 ,0.450 ,9.004 ,0.018 ,43.002 ,0.785 
151,18.661+0.034,58569.5 ,12.820 ,0.297 ,2.301 ,0.683 ,8.781 ,0.020 ,52.804 ,1.073 
151,18.661+0.034,58733.5 ,12.681 ,0.164 ,2.615 ,0.429 ,8.534 ,0.017 ,66.290 ,1.114 
151,18.661+0.034,58935.1 ,12.805 ,0.267 ,2.333 ,0.622 ,8.626 ,0.016 ,60.896 ,0.999 
151,18.661+0.034,59099.2 ,12.701 ,0.179 ,2.569 ,0.461 ,8.500 ,0.018 ,68.390 ,1.237 
151,18.661+0.034,59299.4 ,12.634 ,0.280 ,2.730 ,0.765 ,8.442 ,0.017 ,72.120 ,1.242 
151,18.661+0.034,59464.1 ,12.423 ,0.140 ,3.317 ,0.463 ,8.268 ,0.016 ,84.701 ,1.320 
152,18.667+0.025,56746.5 ,11.428 ,0.075 ,8.294 ,0.625 ,8.721 ,0.018 ,55.816 ,1.000 
152,18.667+0.025,56926.1 ,11.352 ,0.074 ,8.899 ,0.663 ,8.581 ,0.015 ,63.463 ,0.975 
152,18.667+0.025,57108.3 ,11.432 ,0.086 ,8.260 ,0.711 ,8.648 ,0.017 ,59.649 ,1.023 
152,18.667+0.025,57286.5 ,11.420 ,0.069 ,8.358 ,0.578 ,8.670 ,0.017 ,58.480 ,0.975 
152,18.667+0.025,57473.1 ,11.510 ,0.071 ,7.688 ,0.543 ,8.681 ,0.018 ,57.897 ,1.032 
152,18.667+0.025,57646.9 ,11.450 ,0.062 ,8.131 ,0.501 ,8.705 ,0.017 ,56.627 ,0.953 
152,18.667+0.025,57839.8 ,11.433 ,0.061 ,8.255 ,0.502 ,8.747 ,0.016 ,54.490 ,0.897 
152,18.667+0.025,58007.4 ,11.471 ,0.069 ,7.972 ,0.553 ,8.726 ,0.016 ,55.530 ,0.893 
152,18.667+0.025,58203.8 ,11.434 ,0.049 ,8.247 ,0.406 ,8.696 ,0.016 ,57.116 ,0.890 
152,18.667+0.025,58367.8 ,11.551 ,0.081 ,7.408 ,0.598 ,8.738 ,0.017 ,54.949 ,0.946 
152,18.667+0.025,58569.4 ,11.428 ,0.069 ,8.296 ,0.573 ,8.701 ,0.016 ,56.827 ,0.923 
152,18.667+0.025,58733.5 ,11.515 ,0.067 ,7.658 ,0.512 ,8.742 ,0.017 ,54.738 ,0.942 
152,18.667+0.025,58935.1 ,11.503 ,0.077 ,7.737 ,0.593 ,8.768 ,0.017 ,53.443 ,0.926 
152,18.667+0.025,59099.2 ,11.489 ,0.075 ,7.838 ,0.586 ,8.759 ,0.017 ,53.863 ,0.898 
152,18.667+0.025,59299.4 ,11.445 ,0.062 ,8.166 ,0.510 ,8.684 ,0.017 ,57.748 ,0.955 
152,18.667+0.025,59464.0 ,11.363 ,0.064 ,8.804 ,0.568 ,8.698 ,0.017 ,56.981 ,0.969 
155,18.834-0.300,56746.8 ,9.834 ,0.034 ,36.012 ,1.235 ,7.000 ,0.013 ,272.308 ,3.620 
155,18.834-0.300,56926.8 ,9.815 ,0.034 ,36.638 ,1.228 ,7.006 ,0.013 ,270.646 ,3.455 
155,18.834-0.300,57108.7 ,9.772 ,0.029 ,38.111 ,1.105 ,6.952 ,0.013 ,284.523 ,3.647 
155,18.834-0.300,57286.8 ,9.814 ,0.032 ,36.675 ,1.182 ,6.983 ,0.014 ,276.652 ,3.762 
155,18.834-0.300,57473.5 ,9.793 ,0.032 ,37.390 ,1.200 ,6.923 ,0.013 ,292.297 ,3.897 
155,18.834-0.300,57647.2 ,9.784 ,0.036 ,37.707 ,1.357 ,7.007 ,0.013 ,270.494 ,3.584 
155,18.834-0.300,57840.1 ,9.818 ,0.031 ,36.547 ,1.136 ,7.002 ,0.013 ,271.724 ,3.658 
155,18.834-0.300,58007.7 ,9.761 ,0.030 ,38.493 ,1.162 ,6.956 ,0.013 ,283.643 ,3.713 
155,18.834-0.300,58204.2 ,9.770 ,0.031 ,38.175 ,1.183 ,6.984 ,0.013 ,276.190 ,3.515 
155,18.834-0.300,58368.2 ,9.883 ,0.034 ,34.411 ,1.161 ,7.017 ,0.013 ,267.931 ,3.371 
155,18.834-0.300,58569.7 ,9.788 ,0.031 ,37.548 ,1.153 ,6.944 ,0.013 ,286.675 ,3.777 
155,18.834-0.300,58733.8 ,9.803 ,0.032 ,37.057 ,1.195 ,7.028 ,0.013 ,265.414 ,3.461 
155,18.834-0.300,58935.5 ,9.779 ,0.032 ,37.876 ,1.215 ,6.945 ,0.013 ,286.477 ,3.796 
155,18.834-0.300,59099.5 ,9.811 ,0.031 ,36.787 ,1.128 ,6.966 ,0.013 ,280.947 ,3.699 
155,18.834-0.300,59299.7 ,9.858 ,0.032 ,35.230 ,1.124 ,6.997 ,0.013 ,272.917 ,3.657 
155,18.834-0.300,59464.4 ,9.818 ,0.033 ,36.556 ,1.200 ,6.975 ,0.013 ,278.520 ,3.644 
158,18.999-0.239,56746.9 ,8.923 ,0.019 ,83.352 ,1.592 ,6.709 ,0.013 ,355.886 ,4.520 
158,18.999-0.239,56926.9 ,9.036 ,0.020 ,75.063 ,1.470 ,6.768 ,0.013 ,337.176 ,4.524 
158,18.999-0.239,57108.7 ,9.205 ,0.022 ,64.292 ,1.404 ,6.840 ,0.013 ,315.615 ,4.182 
158,18.999-0.239,57286.9 ,9.019 ,0.020 ,76.283 ,1.502 ,6.780 ,0.013 ,333.499 ,4.335 
158,18.999-0.239,57473.3 ,9.207 ,0.022 ,64.121 ,1.415 ,6.910 ,0.013 ,295.922 ,3.827 
158,18.999-0.239,57647.2 ,9.420 ,0.021 ,52.710 ,1.127 ,7.005 ,0.013 ,271.013 ,3.586 
158,18.999-0.239,57840.1 ,9.460 ,0.025 ,50.829 ,1.286 ,7.067 ,0.013 ,256.043 ,3.407 
158,18.999-0.239,58007.8 ,9.408 ,0.021 ,53.308 ,1.124 ,6.995 ,0.013 ,273.479 ,3.601 
158,18.999-0.239,58204.2 ,9.546 ,0.023 ,46.942 ,1.092 ,7.081 ,0.013 ,252.797 ,3.263 
158,18.999-0.239,58368.2 ,9.906 ,0.026 ,33.685 ,0.859 ,7.308 ,0.013 ,204.961 ,2.746 
158,18.999-0.239,58569.8 ,9.900 ,0.028 ,33.880 ,0.962 ,7.214 ,0.014 ,223.558 ,3.062 
158,18.999-0.239,58733.8 ,10.197 ,0.031 ,25.772 ,0.809 ,7.368 ,0.013 ,193.980 ,2.594 
158,18.999-0.239,58935.6 ,11.020 ,0.053 ,12.083 ,0.638 ,7.619 ,0.014 ,153.966 ,2.220 
158,18.999-0.239,59099.6 ,11.090 ,0.051 ,11.319 ,0.580 ,7.671 ,0.013 ,146.743 ,1.944 
158,18.999-0.239,59299.8 ,11.230 ,0.064 ,9.958 ,0.636 ,7.893 ,0.015 ,119.671 ,1.745 
158,18.999-0.239,59464.4 ,11.175 ,0.063 ,10.469 ,0.660 ,7.774 ,0.014 ,133.463 ,1.879 
159,19.009-0.029,56746.7 ,11.887 ,0.138 ,5.434 ,0.749 ,7.087 ,0.012 ,251.299 ,3.107 
159,19.009-0.029,56926.3 ,11.938 ,0.142 ,5.185 ,0.734 ,7.106 ,0.013 ,246.894 ,3.243 
159,19.009-0.029,57108.6 ,11.827 ,0.136 ,5.745 ,0.779 ,7.166 ,0.013 ,233.624 ,3.101 
159,19.009-0.029,57286.7 ,11.847 ,0.146 ,5.640 ,0.825 ,7.187 ,0.013 ,229.103 ,3.006 
159,19.009-0.029,57473.3 ,11.712 ,0.115 ,6.385 ,0.737 ,7.196 ,0.014 ,227.382 ,3.070 
159,19.009-0.029,57647.1 ,11.881 ,0.141 ,5.463 ,0.773 ,7.164 ,0.013 ,234.004 ,3.003 
159,19.009-0.029,57840.0 ,11.743 ,0.119 ,6.208 ,0.740 ,7.096 ,0.014 ,249.282 ,3.365 
159,19.009-0.029,58007.6 ,11.894 ,0.138 ,5.400 ,0.743 ,7.188 ,0.013 ,228.960 ,2.959 
159,19.009-0.029,58204.1 ,11.865 ,0.118 ,5.546 ,0.657 ,7.280 ,0.013 ,210.422 ,2.806 
159,19.009-0.029,58368.1 ,12.068 ,0.177 ,4.601 ,0.814 ,7.181 ,0.013 ,230.563 ,3.017 
159,19.009-0.029,58569.6 ,11.967 ,0.154 ,5.046 ,0.779 ,7.227 ,0.013 ,220.862 ,2.938 
159,19.009-0.029,58733.6 ,11.935 ,0.139 ,5.200 ,0.723 ,7.332 ,0.014 ,200.566 ,2.708 
159,19.009-0.029,58935.4 ,11.973 ,0.129 ,5.020 ,0.648 ,7.397 ,0.014 ,188.819 ,2.575 
159,19.009-0.029,59099.3 ,11.948 ,0.147 ,5.137 ,0.754 ,7.283 ,0.014 ,209.763 ,2.840 
159,19.009-0.029,59299.6 ,11.996 ,0.153 ,4.914 ,0.750 ,7.310 ,0.013 ,204.640 ,2.679 
159,19.009-0.029,59464.3 ,11.901 ,0.132 ,5.367 ,0.710 ,7.322 ,0.013 ,202.391 ,2.648 
166,19.496+0.115,56746.7 ,12.927 ,0.282 ,2.086 ,0.589 ,9.073 ,0.025 ,40.364 ,0.999 
166,19.496+0.115,56926.7 ,12.605 ,0.153 ,2.806 ,0.428 ,9.131 ,0.029 ,38.246 ,1.090 
166,19.496+0.115,57108.7 ,12.815 ,0.237 ,2.311 ,0.548 ,9.021 ,0.026 ,42.344 ,1.080 
166,19.496+0.115,57286.9 ,13.088 ,0.290 ,1.797 ,0.521 ,9.103 ,0.024 ,39.234 ,0.933 
166,19.496+0.115,57473.8 ,13.315 ,0.262 ,1.459 ,0.382 ,9.143 ,0.027 ,37.839 ,1.007 
166,19.496+0.115,57647.1 ,13.318 ,0.289 ,1.454 ,0.420 ,9.181 ,0.025 ,36.535 ,0.908 
166,19.496+0.115,57840.3 ,12.973 ,0.263 ,1.999 ,0.525 ,9.222 ,0.025 ,35.171 ,0.879 
166,19.496+0.115,58007.5 ,12.926 ,0.253 ,2.087 ,0.528 ,9.269 ,0.027 ,33.697 ,0.915 
166,19.496+0.115,58204.5 ,14.356 ,0.459 ,0.559 ,0.257 ,9.302 ,0.027 ,32.688 ,0.866 
166,19.496+0.115,58368.0 ,13.002 ,0.283 ,1.946 ,0.550 ,9.317 ,0.031 ,32.215 ,0.988 
166,19.496+0.115,58570.2 ,13.251 ,0.286 ,1.547 ,0.443 ,9.290 ,0.028 ,33.036 ,0.925 
166,19.496+0.115,58733.9 ,13.010 ,0.187 ,1.932 ,0.361 ,9.266 ,0.029 ,33.775 ,0.984 
166,19.496+0.115,58935.6 ,13.175 ,0.140 ,1.660 ,0.232 ,9.179 ,0.026 ,36.592 ,0.951 
166,19.496+0.115,59099.3 ,12.843 ,0.121 ,2.253 ,0.271 ,9.198 ,0.024 ,35.974 ,0.863 
166,19.496+0.115,59300.0 ,13.476 ,0.248 ,1.258 ,0.311 ,9.288 ,0.029 ,33.112 ,0.960 
168,19.612-0.120,56747.0 ,11.983 ,0.211 ,4.977 ,1.051 ,9.006 ,0.021 ,42.922 ,0.892 
168,19.612-0.120,56927.4 ,12.289 ,0.215 ,3.754 ,0.808 ,8.980 ,0.021 ,43.936 ,0.941 
168,19.612-0.120,57108.9 ,11.731 ,0.175 ,6.277 ,1.098 ,9.045 ,0.025 ,41.386 ,1.014 
168,19.612-0.120,57287.5 ,11.786 ,0.161 ,5.964 ,0.961 ,9.094 ,0.024 ,39.568 ,0.936 
168,19.612-0.120,57473.1 ,11.654 ,0.150 ,6.737 ,1.010 ,8.989 ,0.021 ,43.590 ,0.915 
168,19.612-0.120,57840.3 ,11.814 ,0.177 ,5.812 ,1.028 ,8.947 ,0.027 ,45.318 ,1.233 
168,19.612-0.120,58007.9 ,11.487 ,0.112 ,7.859 ,0.876 ,8.945 ,0.017 ,45.414 ,0.772 
168,19.612-0.120,58204.6 ,12.010 ,0.216 ,4.854 ,1.050 ,8.707 ,0.016 ,56.518 ,0.923 
168,19.612-0.120,58368.5 ,11.985 ,0.146 ,4.964 ,0.725 ,9.297 ,0.028 ,32.814 ,0.930 
168,19.612-0.120,58570.3 ,11.858 ,0.159 ,5.584 ,0.885 ,8.974 ,0.028 ,44.179 ,1.234 
168,19.612-0.120,58734.0 ,11.815 ,0.154 ,5.808 ,0.894 ,8.824 ,0.023 ,50.755 ,1.142 
168,19.612-0.120,58935.8 ,11.885 ,0.179 ,5.447 ,0.974 ,8.671 ,0.018 ,58.448 ,1.047 
168,19.612-0.120,59099.7 ,11.697 ,0.178 ,6.476 ,1.150 ,8.989 ,0.021 ,43.600 ,0.921 
168,19.612-0.120,59300.7 ,11.909 ,0.188 ,5.325 ,1.001 ,8.806 ,0.019 ,51.605 ,0.980 
168,19.612-0.120,59464.6 ,11.685 ,0.127 ,6.543 ,0.830 ,8.396 ,0.015 ,75.286 ,1.141 
169,19.612-0.134,56747.1 ,10.098 ,0.046 ,28.236 ,1.293 ,9.021 ,0.032 ,42.333 ,1.341 
169,19.612-0.134,56927.1 ,10.015 ,0.046 ,30.480 ,1.387 ,9.004 ,0.031 ,42.975 ,1.311 
169,19.612-0.134,57109.0 ,10.084 ,0.048 ,28.597 ,1.365 ,9.037 ,0.031 ,41.709 ,1.301 
169,19.612-0.134,57287.1 ,10.079 ,0.046 ,28.729 ,1.323 ,9.021 ,0.032 ,42.339 ,1.336 
169,19.612-0.134,57473.7 ,10.070 ,0.046 ,28.976 ,1.322 ,9.003 ,0.031 ,43.014 ,1.322 
169,19.612-0.134,57647.4 ,9.989 ,0.041 ,31.212 ,1.270 ,8.983 ,0.028 ,43.848 ,1.241 
169,19.612-0.134,57840.3 ,10.073 ,0.042 ,28.891 ,1.219 ,9.010 ,0.032 ,42.748 ,1.380 
