ID_1,Name,Type,Period,Period_sig,amp,amp_sig,Frac_amp_1,Slope,Slope_sig,R^2,W1_mean,W1_sig,W2_mean,W2_sig,W2_delta,SD/sig,W4,W4_sig,Dis,Dis_err,Rad,Tdust,logLbol,logMclump,logNH2,Fmax,Fmin,Var,N,ref
954,348.579-0.920,Line,--,--,--,--,--,-2.19E-04,6.50E-06,0.90 ,10.607 ,0.294 ,7.278 ,0.203 ,0.612 ,5.007 ,0.370 ,0.034 ,2.80 ,0.33 ,0.95 ,17.1 ,3.79 ,3.36 ,22.94 ,0.3 ,0.3 ,1.0 ,1,MMB
956,348.654+0.244,Sin,1244.4 ,16.8 ,-0.116 ,0.006 ,-0.101 ,--,--,0.69 ,10.296 ,0.146 ,8.058 ,0.103 ,0.295 ,3.239 ,1.934 ,0.030 ,17.46 ,0.44 ,--,--,--,--,--,1.0 ,1.0 ,1.0 ,1,MMB
963,349.092+0.105,SL,2168.0 ,139.3 ,0.087 ,0.010 ,0.084 ,5.60E-05,8.48E-06,0.81 ,12.839 ,0.367 ,8.020 ,0.090 ,0.326 ,4.607 ,0.021 ,0.022 ,10.36 ,0.26 ,--,--,--,--,--,30.0 ,23.1 ,1.3 ,2,"MMB,P05"
964,349.092+0.106,SL,2168.0 ,139.3 ,0.087 ,0.010 ,0.084 ,5.60E-05,8.48E-06,0.81 ,12.839 ,0.367 ,8.020 ,0.090 ,0.326 ,4.607 ,0.021 ,0.022 ,10.36 ,0.26 ,5.03 ,26.7 ,5.72 ,4.14 ,22.98 ,10.4 ,10.4 ,1.0 ,1,MMB
970,350.015+0.433,Sin,4123.0 ,1208.9 ,0.036 ,0.007 ,0.034 ,--,--,0.73 ,9.244 ,0.142 ,6.428 ,0.077 ,0.101 ,1.133 ,-2.295 ,0.006 ,3.83 ,0.27 ,2.95 ,31.0 ,5.55 ,3.80 ,22.75 ,9.0 ,6.0 ,1.5 ,2,"MMB,P05"
979,350.356-0.068,Sin,18210.3 ,162198.4 ,-1.304 ,22.644 ,-0.699 ,--,--,0.82 ,12.891 ,0.446 ,9.721 ,0.081 ,0.239 ,2.148 ,2.091 ,0.031 ,4.95 ,0.25 ,0.27 ,21.9 ,2.74 ,2.02 ,22.13 ,1.4 ,1.4 ,1.0 ,1,MMB
982,350.686-0.491,Line,--,--,--,--,--,8.74E-05,4.66E-06,0.90 ,11.441 ,0.163 ,7.298 ,0.093 ,0.271 ,1.893 ,-0.565 ,0.018 ,1.33 ,0.12 ,0.71 ,20.2 ,3.67 ,2.93 ,22.90 ,19.4 ,19.4 ,1.0 ,1,MMB
993,351.688+0.171,SL,581.5 ,29.5 ,-0.033 ,0.014 ,-0.030 ,5.70E-05,1.24E-05,0.71 ,10.671 ,0.194 ,9.142 ,0.153 ,0.188 ,1.598 ,1.285 ,0.025 ,3.79 ,0.26 ,1.12 ,25.8 ,4.28 ,3.18 ,22.17 ,42.1 ,42.1 ,1.0 ,1,MMB
998,352.133-0.944,SL,554.1 ,19.6 ,-0.086 ,0.028 ,-0.076 ,2.20E-04,2.43E-05,0.75 ,9.030 ,0.431 ,6.170 ,0.290 ,0.828 ,1.831 ,--,--,1.32 ,0.12 ,0.18 ,23.6 ,2.71 ,1.73 ,22.54 ,15.7 ,15.7 ,1.0 ,1,MMB
1008,353.363-0.166,Sin,5843.6 ,3659.4 ,-0.075 ,0.062 ,-0.067 ,--,--,0.79 ,7.973 ,0.077 ,6.386 ,0.080 ,0.136 ,1.226 ,--,--,8.64 ,2.42 ,1.63 ,33.0 ,5.28 ,3.38 ,22.55 ,2.9 ,2.9 ,1.0 ,1,MMB
1009,353.370-0.091,SL,1757.6 ,192.2 ,-0.048 ,0.010 ,-0.043 ,6.58E-05,1.23E-05,0.61 ,11.870 ,0.290 ,10.594 ,0.098 ,0.241 ,1.490 ,2.051 ,0.097 ,3.78 ,0.25 ,3.73 ,22.5 ,5.07 ,4.15 ,22.43 ,1.1 ,1.1 ,1.0 ,1,MMB
1012,353.429-0.090,Sin,2914.2 ,232.5 ,-0.062 ,0.007 ,-0.055 ,--,--,0.62 ,12.163 ,0.411 ,10.133 ,0.067 ,0.309 ,1.619 ,3.383 ,0.054 ,4.82 ,0.25 ,1.69 ,19.2 ,4.21 ,3.90 ,22.81 ,13.0 ,13.0 ,1.0 ,1,MMB
1025,355.538-0.105,Sin,3114.1 ,182.3 ,-0.075 ,0.005 ,-0.067 ,--,--,0.72 ,9.528 ,0.132 ,7.364 ,0.075 ,0.241 ,1.905 ,-0.569 ,0.015 ,12.50 ,0.45 ,--,--,--,--,--,1.5 ,1.5 ,1.0 ,1,MMB
1026,355.545-0.103,Sin,2674.7 ,81.5 ,0.101 ,0.007 ,0.098 ,--,--,0.65 ,9.557 ,0.131 ,7.462 ,0.094 ,0.262 ,2.307 ,0.917 ,0.019 ,12.36 ,0.35 ,--,--,--,--,--,1.3 ,1.3 ,1.0 ,1,MMB
1027,355.642+0.398,SL,5963.3 ,38808.8 ,0.070 ,1.131 ,0.067 ,7.77E-05,7.35E-04,0.66 ,12.009 ,0.218 ,10.515 ,0.089 ,0.140 ,1.502 ,2.273 ,0.022 ,1.33 ,0.12 ,--,--,--,--,--,1.9 ,1.9 ,1.0 ,1,MMB
1033,357.922-0.337,SL,587.6 ,37.3 ,0.025 ,0.014 ,0.023 ,6.88E-05,1.18E-05,0.62 ,9.215 ,0.182 ,6.195 ,0.156 ,0.255 ,1.130 ,0.487 ,0.023 ,2.72 ,0.28 ,--,--,--,--,--,1.5 ,1.5 ,1.0 ,1,MMB
1037,358.263-2.061,SL,2117.1 ,474.3 ,0.013 ,0.004 ,0.012 ,3.25E-05,6.40E-06,0.79 ,9.745 ,0.088 ,7.109 ,0.049 ,0.131 ,1.505 ,-0.665 ,0.009 ,1.13 ,0.32 ,--,--,--,--,--,31.0 ,31.0 ,1.0 ,1,S99
1038,358.371-0.468,SL,1308.4 ,112.4 ,0.030 ,0.009 ,0.028 ,6.63E-05,7.79E-06,0.65 ,11.818 ,0.322 ,8.337 ,0.102 ,0.279 ,1.481 ,0.730 ,0.013 ,2.73 ,0.28 ,--,--,--,--,--,46.9 ,46.9 ,1.0 ,1,MMB
1048,359.138+0.031,Sin,2596.0 ,85.1 ,-0.065 ,0.005 ,-0.058 ,--,--,0.80 ,9.068 ,0.176 ,7.683 ,0.066 ,0.145 ,1.665 ,0.221 ,0.016 ,13.16 ,0.28 ,--,--,--,--,--,19.6 ,17.0 ,1.2 ,3,"MMB,C95B,W97"
1050,359.436-0.102,Sin,4000.0 ,597.7 ,-0.099 ,0.011 ,-0.087 ,--,--,0.87 ,11.055 ,0.371 ,7.380 ,0.094 ,0.245 ,2.082 ,--,--,4.72 ,0.24 ,--,--,--,--,--,1.5 ,1.5 ,1.0 ,1,MMB
1054,24.313-0.154,Sin,806.9 ,9.7 ,-0.276 ,0.025 ,-0.224 ,--,--,0.77 ,11.972 ,0.528 ,8.349 ,0.199 ,0.733 ,5.691 ,3.893 ,0.069 ,5.62 ,0.71 ,0.72 ,21.6 ,3.49 ,2.70 ,22.14 ,2.0 ,2.0 ,1.0 ,1,Y19
1057,25.177+0.211,SL,1750.5 ,142.3 ,-0.040 ,0.008 ,-0.037 ,-6.00E-05,7.98E-06,0.72 ,12.052 ,0.204 ,8.708 ,0.091 ,0.222 ,2.157 ,3.886 ,0.047 ,5.86 ,0.60 ,0.20 ,15.9 ,2.68 ,2.90 ,22.25 ,0.3 ,0.3 ,1.0 ,1,Y19
1059,29.281-0.330,SL,1000.0 ,38.3 ,0.076 ,0.012 ,0.072 ,9.26E-05,1.11E-05,0.65 ,12.484 ,0.286 ,8.474 ,0.144 ,0.312 ,2.184 ,3.302 ,0.032 ,4.65 ,0.47 ,0.87 ,19.7 ,3.73 ,3.15 ,22.37 ,1.9 ,1.9 ,1.0 ,1,Y19
1060,31.221+0.020(Left),Sin,22035.8 ,106647.6 ,2.000 ,18.994 ,5.310 ,--,--,0.82 ,11.891 ,0.269 ,8.249 ,0.090 ,0.289 ,2.398 ,2.101 ,0.051 ,4.92 ,0.78 ,0.25 ,14.0 ,2.50 ,2.77 ,22.50 ,0.4 ,0.4 ,1.0 ,1,Y19
1061,31.253+0.003(Left),SL,583.7 ,23.1 ,-0.056 ,0.018 ,-0.050 ,2.09E-04,1.66E-05,0.79 ,8.636 ,0.098 ,5.829 ,0.246 ,0.654 ,1.866 ,1.673 ,0.035 ,2.12 ,0.26 ,0.13 ,19.5 ,2.34 ,1.84 ,22.11 ,0.3 ,0.3 ,1.0 ,1,Y19
1065,35.225-0.360,Sin,3195.4 ,84.5 ,-0.325 ,0.012 ,-0.259 ,--,--,0.88 ,12.449 ,0.252 ,9.802 ,0.260 ,0.891 ,4.863 ,3.749 ,0.029 ,4.38 ,1.13 ,0.76 ,16.6 ,3.54 ,3.47 ,22.68 ,0.6 ,0.6 ,1.0 ,1,Y19
1066,43.089-0.011,SL,745.9 ,26.6 ,-0.012 ,0.003 ,-0.011 ,1.36E-05,2.76E-06,0.63 ,10.780 ,0.074 ,8.406 ,0.034 ,0.068 ,1.395 ,-0.273 ,0.016 ,11.03 ,0.38 ,--,--,--,--,--,0.3 ,0.3 ,1.0 ,1,Y19
1069,54.371-0.613,SL,5250.7 ,3905.7 ,0.598 ,1.127 ,0.735 ,5.84E-04,8.48E-04,0.71 ,12.077 ,0.475 ,9.039 ,0.158 ,0.521 ,2.314 ,2.903 ,0.021 ,4.22 ,0.62 ,0.34 ,20.0 ,3.26 ,2.76 ,22.41 ,0.8 ,0.8 ,1.0 ,1,Y19
1070,59.436+0.820,Line,--,--,--,--,--,2.75E-04,1.09E-05,0.90 ,12.205 ,0.189 ,10.224 ,0.269 ,0.764 ,2.701 ,1.950 ,0.019 ,11.77 ,0.78 ,--,--,--,--,--,0.4 ,0.4 ,1.0 ,1,Y19
1073,74.098+0.110,Sin,3417.9 ,199.5 ,-0.082 ,0.005 ,-0.073 ,--,--,0.61 ,12.515 ,0.131 ,9.537 ,0.095 ,0.269 ,2.088 ,3.094 ,0.019 ,3.49 ,0.41 ,--,--,--,--,--,5.2 ,5.2 ,1.0 ,1,Y19
1074,75.010+0.274,SL,2000.0 ,96.7 ,-0.071 ,0.009 ,-0.063 ,1.25E-04,7.12E-06,0.76 ,12.935 ,0.280 ,10.838 ,0.155 ,0.424 ,1.961 ,4.979 ,0.051 ,3.43 ,0.36 ,--,--,--,--,--,0.5 ,0.5 ,1.0 ,1,Y19
1075,76.093+0.158,Sin,3644.5 ,225.0 ,-0.092 ,0.005 ,-0.081 ,--,--,0.82 ,10.972 ,0.123 ,8.576 ,0.090 ,0.220 ,1.729 ,1.395 ,0.015 ,3.28 ,0.39 ,--,--,--,--,--,0.5 ,0.5 ,1.0 ,1,Y19
1077,81.794+0.911,Sin,2760.7 ,147.2 ,-0.190 ,0.014 ,-0.160 ,--,--,0.79 ,9.692 ,0.209 ,7.955 ,0.235 ,0.429 ,1.553 ,1.081 ,0.018 ,1.56 ,0.11 ,--,--,--,--,--,0.6 ,0.6 ,1.0 ,1,Y19
1078,82.308+0.729,Sin,5555.1 ,2065.6 ,-0.127 ,0.075 ,-0.110 ,--,--,0.91 ,11.583 ,0.090 ,8.848 ,0.063 ,0.167 ,1.477 ,2.033 ,0.018 ,1.90 ,0.45 ,--,--,--,--,--,58.4 ,58.4 ,1.0 ,1,Y19
1079,84.193+1.439,SL,1703.9 ,202.9 ,-0.219 ,0.052 ,-0.183 ,-1.99E-04,5.93E-05,0.64 ,4.979 ,0.622 ,2.096 ,0.664 ,1.046 ,1.409 ,-2.637 ,0.003 ,1.51 ,0.10 ,--,--,--,--,--,0.5 ,0.5 ,1.0 ,1,Y19
1081,84.984-0.529,Sin,3502.9 ,231.4 ,-0.072 ,0.005 ,-0.064 ,--,--,0.84 ,11.371 ,0.124 ,8.667 ,0.089 ,0.212 ,1.448 ,1.883 ,0.024 ,5.15 ,0.46 ,--,--,--,--,--,0.5 ,0.5 ,1.0 ,1,Y19
1082,89.930+1.669,Sin,2559.1 ,91.1 ,-0.120 ,0.009 ,-0.105 ,--,--,0.60 ,12.149 ,0.126 ,9.773 ,0.148 ,0.439 ,2.525 ,1.354 ,0.011 ,8.08 ,0.87 ,--,--,--,--,--,0.5 ,0.5 ,1.0 ,1,Y19
1083,99.070+1.200,SL,802.9 ,5.4 ,-0.130 ,0.006 ,-0.113 ,5.48E-05,5.10E-06,0.66 ,11.037 ,0.140 ,8.884 ,0.133 ,0.494 ,3.776 ,2.434 ,0.011 ,6.88 ,0.80 ,--,--,--,--,--,0.5 ,0.5 ,1.0 ,1,Y19
