ID_1,Name,Type,Period,Period_sig,amp,amp_sig,Frac_amp_1,Slope,Slope_sig,R^2,W1_mean,W1_sig,W2_mean,W2_sig,W2_delta,SD/sig,W4,W4_sig,Dis,Dis_err,Rad,Tdust,logLbol,logMclump,logNH2,Fmax,Fmin,Var,N,ref
667,324.789-0.378,SL,1268.5 ,36.3 ,0.041 ,0.004 ,0.038 ,-5.05E-05,4.14E-06,0.71 ,10.528 ,0.078 ,8.441 ,0.071 ,0.235 ,2.770 ,2.709 ,0.015 ,13.98 ,0.69 ,--,--,--,--,--,1.7 ,1.7 ,1.0 ,1,MMB
668,324.915+0.158,SL,2172.5 ,126.6 ,-0.116 ,0.010 ,-0.101 ,4.80E-05,1.33E-05,0.66 ,12.205 ,0.164 ,9.838 ,0.140 ,0.463 ,1.956 ,2.149 ,0.019 ,13.31 ,0.40 ,--,22.5 ,--,--,22.04 ,12.1 ,12.1 ,1.0 ,1,MMB
670,325.659-0.022,SL,5999.5 ,8484.0 ,0.506 ,1.876 ,0.594 ,-4.42E-04,1.24E-03,0.76 ,11.919 ,0.235 ,9.906 ,0.143 ,0.273 ,1.856 ,1.395 ,0.014 ,16.33 ,0.51 ,--,--,--,--,--,2.3 ,2.3 ,1.0 ,1,MMB
686,327.566-0.850,Sin,2972.0 ,198.7 ,-0.112 ,0.012 ,-0.098 ,--,--,0.65 ,9.281 ,0.176 ,6.536 ,0.151 ,0.349 ,1.691 ,-0.003 ,0.026 ,1.38 ,0.19 ,0.44 ,25.1 ,3.82 ,2.59 ,22.93 ,15.0 ,15.0 ,1.0 ,1,MMB
693,328.140-0.432,SL,740.6 ,23.7 ,0.033 ,0.008 ,0.030 ,7.12E-05,6.67E-06,0.81 ,9.769 ,0.128 ,7.462 ,0.106 ,0.197 ,2.137 ,1.232 ,0.026 ,2.88 ,0.31 ,0.41 ,20.5 ,3.14 ,2.49 ,22.69 ,4.2 ,4.2 ,1.0 ,1,MMB
697,328.385+0.131,Sin,2676.9 ,90.2 ,0.117 ,0.004 ,0.114 ,--,--,0.93 ,9.864 ,0.115 ,7.638 ,0.090 ,0.304 ,3.021 ,2.204 ,0.026 ,16.88 ,0.52 ,--,--,--,--,--,1.9 ,1.9 ,1.0 ,1,MMB
705,329.066-0.308,SL,1546.7 ,86.9 ,0.048 ,0.009 ,0.046 ,1.25E-04,7.82E-06,0.83 ,10.912 ,0.144 ,6.659 ,0.133 ,0.371 ,2.158 ,-0.141 ,0.016 ,2.89 ,0.27 ,0.62 ,16.2 ,3.35 ,3.14 ,23.09 ,24.0 ,21.9 ,1.1 ,2,"MMB,E96"
706,329.183-0.314,Sin,2939.1 ,367.1 ,0.056 ,0.007 ,0.053 ,--,--,0.76 ,12.596 ,0.232 ,8.307 ,0.075 ,0.162 ,1.386 ,0.827 ,0.014 ,3.05 ,0.24 ,0.57 ,25.1 ,4.10 ,2.90 ,23.10 ,13.0 ,10.7 ,1.2 ,3,"MMB,C95B,M92A"
711,329.407-0.459,SL,611.6 ,18.8 ,-0.056 ,0.013 ,-0.050 ,4.62E-05,1.18E-05,0.72 ,10.770 ,0.205 ,6.959 ,0.142 ,0.282 ,1.253 ,--,--,4.36 ,1.24 ,--,--,--,--,--,175.0 ,122.0 ,1.4 ,4,"MMB,C95B,M92A,W97"
712,329.469+0.503,SL,2743.6 ,634.8 ,-0.036 ,0.011 ,-0.033 ,2.66E-05,1.64E-05,0.73 ,11.625 ,0.148 ,8.956 ,0.067 ,0.097 ,1.141 ,--,--,7.47 ,1.99 ,0.82 ,20.7 ,3.88 ,3.19 ,22.88 ,21.6 ,17.6 ,1.2 ,2,"MMB,P05"
726,331.120-0.118,Sin,2081.5 ,46.2 ,-0.159 ,0.009 ,-0.136 ,--,--,0.71 ,11.979 ,0.158 ,8.835 ,0.140 ,0.427 ,3.953 ,3.456 ,0.031 ,5.10 ,0.43 ,0.36 ,24.4 ,3.53 ,2.62 ,22.07 ,9.4 ,2.6 ,3.7 ,2,"MMB,P05"
