ID_1,Name,type,W1_mean,W1_sig,W2_mean,W2_sig,W2_delta,SD/sig,W4,W4_sig,Dis,Rad,T_dust,L_bol,LogM,LogNH2,Fmax,Fmin,Var,Count,ref
1044,358.841-0.737,Drop,12.498 ,0.301 ,9.506 ,0.024 ,0.340 ,1.592 ,1.236 ,0.023 ,5.25 ,--,--,--,--,--,13.1 ,13.1 ,1.0 ,1,MMB
1051,359.615-0.243,Drop,8.293 ,0.018 ,5.388 ,0.025 ,0.833 ,1.189 ,-0.537 ,0.016 ,8.28 ,--,--,--,--,--,71.7 ,48.0 ,1.5 ,4,"MMB,C95B,G04,P05"
1053,359.970-0.457,Drop,5.897 ,0.061 ,1.694 ,0.064 ,1.099 ,1.217 ,-2.917 ,0.006 ,8.18 ,--,--,--,--,--,2.2 ,1.0 ,2.2 ,3,"MMB,C95B,W97"
1056,24.633+0.153,Irregular,12.923 ,0.313 ,8.511 ,0.017 ,0.257 ,2.035 ,3.807 ,0.161 ,6.86 ,0.58 ,15.9 ,2.85 ,2.88 ,22.77 ,1.3 ,1.2 ,1.1 ,2,"S14,Y19"
1058,28.804-0.023,Burst,10.367 ,0.040 ,7.994 ,0.014 ,0.301 ,2.629 ,1.790 ,0.023 ,8.06 ,1.11 ,15.4 ,3.40 ,3.46 ,22.65 ,0.5 ,0.5 ,1.0 ,1,Y19
1062,33.229-0.018,Drop,10.586 ,0.037 ,7.982 ,0.015 ,0.174 ,1.543 ,0.922 ,0.028 ,6.82 ,--,--,--,--,--,0.5 ,0.5 ,1.0 ,1,Y19
1063,33.425-0.315,Irregular,11.676 ,0.064 ,9.599 ,0.037 ,1.220 ,1.671 ,3.031 ,0.022 ,2.50 ,--,--,--,--,--,0.6 ,0.6 ,1.0 ,1,Y19
1067,49.537-0.904,Irregular,13.639 ,0.084 ,11.609 ,0.035 ,0.920 ,4.154 ,5.046 ,0.043 ,2.45 ,--,--,--,--,--,0.6 ,0.6 ,1.0 ,1,Y19
1068,53.485+0.521,Burst,11.394 ,0.025 ,9.160 ,0.015 ,0.644 ,4.728 ,3.427 ,0.026 ,4.44 ,0.19 ,17.7 ,2.61 ,2.41 ,22.33 ,0.3 ,0.3 ,1.0 ,1,Y19
1071,59.498-0.236,Irregular,13.640 ,0.158 ,8.994 ,0.015 ,0.686 ,6.165 ,0.050 ,0.014 ,3.25 ,0.37 ,15.8 ,2.68 ,2.47 ,22.81 ,0.6 ,0.6 ,1.0 ,1,Y19
1080,84.951-0.691,Drop,7.797 ,0.015 ,4.843 ,0.014 ,0.443 ,1.091 ,-1.093 ,0.010 ,5.16 ,--,--,--,--,--,5.4 ,5.4 ,1.0 ,1,Y19
1084,124.015-0.027,Irregular,8.847 ,0.015 ,5.871 ,0.015 ,0.846 ,2.079 ,0.243 ,0.014 ,2.45 ,--,--,--,--,--,1.5 ,1.5 ,1.0 ,1,Y19
1085,149.076+0.397,Irregular,12.215 ,0.026 ,9.477 ,0.016 ,1.803 ,20.878 ,2.857 ,0.019 ,4.55 ,--,--,--,--,--,1.8 ,1.8 ,1.0 ,1,Y19
