ID_1,Name,type,W1_mean,W1_sig,W2_mean,W2_sig,W2_delta,SD/sig,W4,W4_sig,Dis,Rad,T_dust,L_bol,LogM,LogNH2,Fmax,Fmin,Var,Count,ref
592,306.322-0.334,Irregular,11.583 ,0.085 ,9.012 ,0.018 ,0.194 ,1.187 ,0.510 ,0.018 ,7.68 ,0.18 ,23.6 ,2.73 ,1.94 ,22.31 ,0.5 ,0.3 ,1.7 ,4,"MMB,C95B,M03,W97"
594,307.133-0.477,Irregular,12.283 ,0.056 ,9.925 ,0.018 ,0.121 ,1.527 ,2.684 ,0.024 ,7.76 ,--,--,--,--,--,1.8 ,1.3 ,1.4 ,2,"MMB,MMB"
604,309.921+0.479,Irregular,5.199 ,0.031 ,1.844 ,0.016 ,0.951 ,1.422 ,-3.945 ,0.004 ,4.98 ,1.01 ,35.1 ,5.32 ,3.37 ,22.94 ,1185.0 ,635.0 ,1.9 ,7,"MMB,C95B,C97,G04,M03,V11,W97"
612,311.947+0.142,Burst,11.070 ,0.033 ,8.428 ,0.014 ,0.243 ,1.918 ,2.221 ,0.036 ,4.27 ,0.38 ,20.0 ,3.14 ,2.72 ,22.65 ,0.3 ,0.3 ,1.0 ,1,MMB
628,314.320+0.112,Drop,5.650 ,0.040 ,1.003 ,0.056 ,2.461 ,1.311 ,-2.577 ,0.004 ,3.75 ,0.98 ,21.5 ,4.08 ,3.18 ,22.75 ,37.2 ,37.2 ,1.0 ,1,MMB
634,316.640-0.087,Irregular,12.150 ,0.121 ,8.514 ,0.018 ,0.377 ,2.160 ,-0.624 ,0.014 ,10.81 ,0.22 ,22.7 ,2.85 ,1.88 ,22.72 ,132.0 ,80.6 ,1.6 ,9,"MMB,C95B,G04,M92B,M03,P05,P98,V11,W97"
635,316.811-0.057,Irregular,7.131 ,0.015 ,4.404 ,0.013 ,2.245 ,1.661 ,-5.378 ,--,3.51 ,0.61 ,29.4 ,4.94 ,3.09 ,23.02 ,75.3 ,12.0 ,6.3 ,6,"MMB,C95B,E07,M03,P05,W97"
638,317.466-0.402,Irregular,13.740 ,0.316 ,8.583 ,0.016 ,0.189 ,1.441 ,--,--,3.50 ,0.90 ,23.6 ,4.20 ,3.20 ,22.37 ,61.0 ,51.5 ,1.2 ,2,"MMB,E07"
641,318.050+0.087,Burst,8.495 ,0.016 ,5.850 ,0.015 ,0.438 ,1.596 ,-1.628 ,0.007 ,3.41 ,0.74 ,26.7 ,4.43 ,3.01 ,23.10 ,12.6 ,4.0 ,3.2 ,6,"MMB,C95B,G93,M03,P05,W97"
642,318.472-0.214,Irregular,11.947 ,0.036 ,8.717 ,0.014 ,0.278 ,2.044 ,2.915 ,0.021 ,11.33 ,0.52 ,18.3 ,3.45 ,3.38 ,22.37 ,1.3 ,1.3 ,1.0 ,1,MMB
